Country,2021_GDP,2020_GDP,2019_GDP,2018_GDP,2017_GDP,2016_GDP,2015_GDP,2014_GDP,2013_GDP,2021_atw,2020_atw,2019_atw,2018_atw,2017_atw,2016_atw,2015_atw,2014_atw,2013_atw,2021_ami,2020_ami,2019_ami,2018_ami,2017_ami,2016_ami,2015_ami,2014_ami,2013_ami,2020_ia,2019_ia,2018_ia,2017_ia,2016_ia,2015_ia,2014_ia,2013_ia
Kenya,"2,006.80","1,872.10","1,909.30","1,794.10","1,633.50","1,525.20","1,464.60","1,462.20","1,354.80",483.06,400.23,383.14,374.7,328.02,317.5,306.38,421.65,478.41,59.26,49.37,59.06,61.74,50.06,42.06,45.2,56.04,41.86,29.5,22.57,19.5,17.83,16.6,16.59,16.5,13
Latvia,"20,642.20","17,704.00","17,926.80","17,865.00","15,695.10","14,331.80","13,786.50","15,742.40","15,007.50",1124.65,912.69,914.44,818.67,684.11,699.04,662.33,766.27,705.68,18.25,16.8,18.28,17.56,15.38,13.53,12.55,14.35,17.26,88.9,86.14,83.58,80.11,79.84,79.2,75.83,75.23
Lebanon,"2,670.40","3,801.80","7,527.40","8,003.80","7,776.00","7,617.70","7,643.00","7,681.70","7,928.30",780.39,842.39,968.36,1046.29,1095.87,1014.49,1109.34,1200,970.28,52.96,51.28,59.35,44.96,48.05,57.88,55.57,61.34,58.22,84.1,80.9,80.9,78.18,76.11,74,73,70.5
Lithuania,"23,433.40","20,232.30","19,575.80","19,186.20","16,885.40","15,008.30","14,264.00","16,551.00","15,729.70",1236.13,985.49,934.67,866.99,752.9,705.25,653.91,775.17,699.36,14.79,12.23,12.43,12.67,11.49,10.78,9.39,11.82,12.03,83.06,81.58,79.72,77.62,74.38,71.38,72.13,68.45
Luxembourg,"135,682.80","116,356.20","113,218.70","117,254.70","110,193.20","106,899.30","105,462.00","123,678.70","120,000.10",4683.91,4318.09,3862.91,3635.24,3695.1,3277.85,3562.84,3951.22,5405.84,69.24,59.96,53.25,55.47,50.38,43.06,42.08,49.26,38.96,98.82,97.12,97.06,97.36,98.14,96.38,94.67,93.78
Malaysia,"11,371.10","10,412.30","11,432.80","11,380.10","10,259.30","9,817.80","9,955.20","11,319.10","10,970.10",828.46,907,893.85,929.72,896.86,901.35,1023.73,1020.46,1103.72,28.31,28.22,29.42,37.75,39.24,39.42,44.35,45,46.54,89.56,84.19,81.2,80.14,78.79,71.06,63.67,57.06
Malta,"33,257.40","28,946.50","31,185.60","31,573.10","28,857.00","25,624.50","24,921.60","26,754.30","24,771.10",1600.95,1487.02,1202.35,1301.74,1219.63,1319.36,1182.59,1737.92,1351.52,41.8,34.74,41.68,37.17,32.04,25.91,24.18,28.24,29.22,86.86,85.78,81.66,81.01,78.08,75.96,73.17,68.91
Mexico,"9,926.40","8,431.70","9,950.20","9,687.00","9,287.80","8,744.50","9,616.60","10,928.90","10,725.20",590.97,494.85,558.05,494.1,575.74,549.27,714.34,783.44,770.88,26.68,24.21,27.15,25.72,24.66,21.73,25.82,30.79,30.29,71.97,70.07,65.77,63.85,59.54,57.43,44.39,43.46
Morocco,"3,496.80","3,058.70","3,235.00","3,227.00","3,035.50","2,896.70","2,875.30","3,171.70","3,121.70",431.83,442.88,422.43,412.94,456.5,421.7,409.95,526.88,340.14,38.21,31.76,35.9,30.9,25.84,24.32,21.72,22.41,22.81,84.12,74.38,64.8,61.76,58.27,57.08,56.8,56
Nepal,"1,222.90","1,147.50","1,195.00","1,178.50","1,048.50",899.5,901.7,844.9,823.4,252.19,237.04,207.76,222.77,202.74,174.55,183.18,150.91,182.52,14.68,17.08,18,18.61,18.38,26.01,53.97,18.15,29.85,37.7,32.8,28.6,24.3,20.7,17.58,15.44,13.3
Netherlands,"58,061.00","52,396.00","52,476.30","53,044.50","48,675.20","46,039.10","45,193.40","52,900.50","52,198.90",3573.06,2898.91,2788.67,2738.27,2511.58,2474.04,2415.2,3088.8,2904.77,52.19,44.64,45.03,44.07,40.13,30.87,26.71,32.07,31.24,91.33,93.29,91.89,93.2,90.41,91.72,91.67,93.96
New Zealand,"48,801.70","41,596.50","42,865.20","43,250.40","42,925.00","40,058.20","38,630.70","44,572.90","42,976.60",3227.73,2626.04,2645.2,2667.28,2596.69,2437.06,2360.84,2554.46,2698.84,58.63,50.28,55.51,59.17,61.08,59.41,58.74,73.62,72.62,91.5,90.2,89,87.7,86.5,85.2,84,82.78
Nigeria,"2,085.00","2,097.10","2,229.90","2,027.80","1,968.60","2,176.00","2,687.50","3,099.00","2,961.50",231.26,191.82,235.42,200.82,230.76,409.23,635.93,713.26,713.8,54.79,40.91,45.56,39.68,63.88,71.95,74.24,75.93,87.06,35.5,33.6,31.9,28,25.67,24.5,21,19.1
